Test,Part,NoiDungTuVung,DichNghia,AmThanh,CauViDu
1,1,Wipe off,lau sạch,/waɪp ɒf/,She used a cloth to wipe off the dust from the table.
1,1,Throw away,vứt bỏ,/θrəʊ əˈweɪ/,Please don't throw away recyclable materials.
1,1,Brush off,"phủi đi, phớt lờ",/brʌʃ ɒf/,He brushed off the criticism and continued his work confidently.
1,1,Shovel from,xúc khỏi,/ˈʃʌvəl frɒm/,Workers are shoveling snow from the driveway.
1,1,Hang,"treo, móc",/hæŋ/,He decided to hang a picture on the wall above the sofa.
1,1,Have a conversation,trò chuyện,/hæv ə ˌkɒnvəˈseɪʃən/,They stopped by to have a conversation about the upcoming project.
1,1,Rearrange,sắp xếp lại,/ˌriːəˈreɪndʒ/,She decided to rearrange the furniture in her living room.
1,1,Cushion,gối đệm,/ˈkʊʃən/,The sofa has a soft cushion for added comfort.
1,1,Enter,đi vào,/ˈentə/,Please enter the building through the main door.
1,1,Scatter,"rải, tung",/ˈskætə/,The children scattered the toys all over the floor.
1,1,Rack,giá đỡ,/ræk/,The books were neatly organized on the rack.
1,1,Line up,xếp hàng,/laɪn ʌp/,The students lined up in front of the classroom before entering.
1,1,Tent,lều,/tent/,They set up a tent in the middle of the campsite.
1,1,Potted plant,cây trong chậu,/ˈpɒtɪd plɑːnt/,A potted plant added a touch of green to the corner of the room.
1,1,Suspend,treo lơ lửng,/səˈspend/,The lamp was suspended from the ceiling by a chain.
1,1,Stack,"chất đống, chồng",/stæk/,The worker stacked boxes neatly in the warehouse.
1,1,Entryway,lối vào,/ˈentriˌweɪ/,The entryway to the house was decorated with fresh flowers.
1,1,Rug,thảm nhỏ,/rʌɡ/,A colorful rug was placed under the coffee table.
1,1,Roll up,cuộn lại,/rəʊl ʌp/,He rolled up the poster and put it back into its tube.
1,1,Sweep,quét,/swiːp/,She used a broom to sweep the kitchen floor.
1,1,Patio,sân nhỏ ngoài trời,/ˈpætɪəʊ/,They enjoyed their morning coffee on the patio overlooking the garden.
1,1,Light fixture,đèn cố định,/laɪt ˈfɪkstʃə/,The new light fixture in the living room gave the space a modern look.
1,2,Do for a living,làm nghề gì để sống,/duː fɔːr ə ˈlɪvɪŋ/,What do you do for a living?
1,2,Assignment,"nhiệm vụ, bài tập",/əˈsaɪnmənt/,The teacher gave us a challenging assignment to complete by Friday.
1,2,Tenant,người thuê nhà,/ˈtenənt/,The tenant agreed to pay the rent on the first of each month.
1,2,Work order,phiếu công việc,/wɜːk ˈɔːdə/,The technician completed the work order for the broken AC unit.
1,2,Vendor,"người bán hàng, nhà cung cấp",/ˈvendə/,The vendor sold fresh fruits and vegetables at the market.
1,2,Personnel,"nhân sự, cán bộ",/ˌpɜːsəˈnel/,The company is looking to hire more personnel for its IT department.
1,2,Cafeteria,quán ăn tự phục vụ,/ˌkæfɪˈtɪəriə/,Employees often gather in the cafeteria during their lunch breaks.
1,2,Manual,sách hướng dẫn / thủ công,/ˈmænjuəl/,The technician followed the manual to repair the equipment.
1,2,Forecast,dự báo,/ˈfɔːkɑːst/,The weather forecast predicts heavy rain this weekend.
1,2,Corridor,hành lang,/ˈkɒrɪdɔː/,The corridor was brightly lit and decorated with paintings.
1,2,Turn out,"hóa ra, diễn ra",/tɜːn aʊt/,The event turned out to be a huge success.
1,2,Hike,"sự tăng lên, đi bộ đường dài",/haɪk/,The sudden hike in fuel prices surprised many people.
1,2,Boots,đôi ủng,/buːts/,She wore waterproof boots for the hiking trip.
1,2,Enjoyable,"thú vị, vui vẻ",/ɪnˈdʒɔɪəbl/,The picnic was an enjoyable experience for everyone.
1,2,Make a reservation,"đặt chỗ, đặt bàn",/meɪk ə ˌrezəˈveɪʃən/,I called the restaurant to make a reservation for dinner.
1,2,Sold out,bán hết,/səʊld aʊt/,Tickets for the concert were sold out within minutes.
1,2,Blender,máy xay sinh tố,/ˈblendə/,She used the blender to make a fresh fruit smoothie.
1,2,Prototype,"nguyên mẫu, mẫu thử",/ˈprəʊtətaɪp/,The engineers tested the prototype before mass production began.
1,2,Terminal,nhà ga / cuối cùng,/ˈtɜːmɪnəl/,The train stopped at the terminal station of its route.
1,2,Bouquet,bó hoa,/buːˈkeɪ/,He gave her a beautiful bouquet of roses for her birthday.
1,2,Nominate,"đề cử, bổ nhiệm",/ˈnɒmɪneɪt/,She was nominated for the award of Best Actress.
1,2,Made a speech,phát biểu,/meɪd ə spiːtʃ/,The president made a speech at the opening ceremony.
1,2,Merchandise,hàng hóa,/ˈmɜːtʃəndaɪz/,The store displays its merchandise attractively to attract customers.
1,2,Prescription,đơn thuốc,/prɪˈskrɪpʃən/,The doctor gave her a prescription for antibiotics.
1,2,Look for,tìm kiếm,/lʊk fɔː/,She is looking for her keys everywhere in the house.
1,3,Calculate,tính toán,/ˈkælkjʊleɪt/,She used a calculator to calculate the total expense.
1,3,Expense,chi phí,/ɪkˈspens/,The company reduced its monthly expenses to improve profits.
1,3,Reimbursement,sự hoàn trả,/ˌriːɪmˈbɜːsmənt/,Employees can request reimbursement for travel expenses.
1,3,Receipt,biên lai,/rɪˈsiːt/,Keep your receipt in case you need to return the item.
1,3,Accommodation,chỗ ở,/əˌkɒməˈdeɪʃən/,The hotel offers luxury accommodation for its guests.
1,3,Sales representative,nhân viên kinh doanh,/seɪlz ˌreprɪˈzentətɪv/,The sales representative introduced the new product to potential clients.
1,3,Accurate,chính xác,/ˈækjʊrət/,The report provides accurate information about the project.
1,3,Follow,"theo dõi, làm theo",/ˈfɒləʊ/,Make sure to follow the instructions carefully.
1,3,Authorize,"ủy quyền, cho phép",/ˈɔːθəraɪz/,The manager authorized the purchase of new equipment.
1,3,Spreadsheet,bảng tính,/ˈspredʃiːt/,Use the spreadsheet to organize the budget details.
1,3,Fog,sương mù,/fɒɡ/,Heavy fog delayed the flight schedule.
1,3,Lift,thang máy / nâng lên,/lɪft/,They used a crane to lift the heavy cargo onto the ship.
1,3,Harbor,bến cảng,/ˈhɑːbə/,The harbor was filled with fishing boats and yachts.
1,3,Deck,"boong tàu, sàn tàu",/dek/,Passengers gathered on the deck to enjoy the view of the sea.
1,3,Uneventful,"yên ả, không có biến cố",/ˌʌnɪˈventfl/,The journey was long but uneventful.
1,3,Cargo ship,tàu chở hàng,/ˈkɑːɡəʊ ʃɪp/,The cargo ship carried goods across the ocean.
1,3,Behind schedule,trễ tiến độ,/bɪˈhaɪnd ˈʃedjuːl/,The construction project is running behind schedule due to bad weather.
1,3,Port authority,cơ quan quản lý cảng,/pɔːt ɔːˈθɒrəti/,The port authority monitors all incoming and outgoing ships.
1,3,Clear,dọn dẹp / rõ ràng,/klɪə/,Please clear the table after dinner.
1,3,Hospitality,lòng hiếu khách,/ˌhɒspɪˈtæləti/,The staff’s hospitality made our stay at the hotel memorable.
1,3,Meteorology,khí tượng học,/ˌmiːtiəˈrɒlədʒi/,Meteorology helps predict severe weather conditions like hurricanes.
1,3,Properly,"đúng cách, hợp lý",/ˈprɒpəli/,Please ensure the equipment is installed properly.
1,3,Absent,vắng mặt,/ˈæbsənt/,Many students were absent from class due to illness.
1,3,Place a call,gọi điện thoại,/pleɪs ə kɔːl/,She placed a call to the supplier to confirm the delivery schedule.
1,3,Seat,sắp xếp chỗ ngồi,/siːt/,The usher seated the guests according to the seating plan.
1,3,Terrace,"sân thượng, hiên",/ˈterəs/,We enjoyed dinner on the terrace overlooking the garden.
1,3,Cashier,nhân viên thu ngân,/kæˈʃɪə/,The cashier processed the payment quickly.
1,3,Demonstrate,"trình bày, chứng minh",/ˈdemənstreɪt/,The instructor will demonstrate how to use the new software.
1,3,Compact,nhỏ gọn,/ˈkɒmpækt/,The compact design of the device makes it easy to carry around.
1,3,Tablet,"máy tính bảng, viên thuốc",/ˈtæblɪt/,The doctor prescribed tablets for the patient.
1,3,Brochure,cuốn sách nhỏ quảng cáo,/ˈbrəʊʃə/,The brochure provides details about the tour packages.
1,3,Electronics store,cửa hàng điện tử,/ɪˌlekˈtrɒnɪks stɔː/,I went to the electronics store to buy a new phone charger.
1,3,Contest,cuộc thi / tranh đấu,/ˈkɒntest/ (n); /kənˈtest/ (v),She entered a photography contest and won first prize.
1,3,Concentrate on,tập trung vào,/ˈkɒnsəntreɪt ɒn/,You should concentrate on completing your project before the deadline.
1,3,Reduction,sự giảm,/rɪˈdʌkʃən/,The store is offering a reduction in prices for all electronics.
1,3,Ingredient,nguyên liệu,/ɪnˈɡriːdiənt/,The chef carefully selected the ingredients for the dish.
1,3,Similar,"giống, tương tự",/ˈsɪmɪlə/,These two cars are similar in price and features.
1,3,Investigation,sự điều tra,/ɪnˌvestɪˈɡeɪʃən/,The police launched an investigation into the robbery.
1,3,Find out,tìm ra,/faɪnd aʊt/,I need to find out the opening hours of the library.
